"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.186289260E-1,6.471486092E-1,-7.813452244E0,6.042059898E0,9.898248588E0
7.210345510E-1,6.543308496E-1,-7.820634842E0,6.063606739E0,9.917550347E0
7.234395510E-1,6.591190100E-1,-7.830211163E0,6.054030418E0,9.919573026E0
7.258451760E-1,6.902424097E-1,-7.811058521E0,6.070789337E0,9.916831802E0
7.282507490E-1,6.758778095E-1,-7.794299603E0,6.068394661E0,9.901178257E0
7.306566340E-1,6.830600500E-1,-7.789511681E0,6.099518299E0,9.917015011E0
7.330621550E-1,6.806659698E-1,-7.808664322E0,6.082759857E0,9.921618423E0
7.354670510E-1,6.950305700E-1,-7.820634842E0,6.092335701E0,9.937904765E0
7.378726760E-1,6.926364899E-1,-7.815846920E0,6.087547779E0,9.931034505E0
7.402781970E-1,6.974246502E-1,-7.818240643E0,6.075577259E0,9.925921968E0
7.426832490E-1,7.117892504E-1,-7.803876400E0,6.058818817E0,9.905373101E0
7.450884050E-1,6.878482103E-1,-7.820634842E0,6.056424141E0,9.915429283E0
7.474937170E-1,6.806659698E-1,-7.825422764E0,6.046848297E0,9.912866484E0
7.498996550E-1,6.806659698E-1,-7.827817440E0,6.042059898E0,9.911837360E0
7.523055400E-1,6.591190100E-1,-7.827817440E0,6.046848297E0,9.913301068E0
7.547109570E-1,6.543308496E-1,-7.839787960E0,6.025301456E0,9.909322972E0
7.571169470E-1,6.471486092E-1,-7.863729000E0,5.989389896E0,9.906049992E0
7.595226760E-1,6.399662495E-1,-7.858940125E0,6.018118858E0,9.919186019E0
7.619278320E-1,6.160253286E-1,-7.856546402E0,6.018118858E0,9.915773453E0
7.643333530E-1,6.279958487E-1,-7.882881165E0,5.996572018E0,9.924367496E0
7.667389780E-1,6.160253286E-1,-7.873304844E0,5.994177818E0,9.914564241E0
7.691449670E-1,6.256016493E-1,-7.875699520E0,6.027695179E0,9.937360290E0
7.715506970E-1,6.064488888E-1,-7.880487442E0,6.025301456E0,9.938517003E0
